,0,flux
0,4690.0,0.0
1,4690.620000004768,0.0
2,4691.240000009536,0.0
3,4691.860000014304,0.0
4,4692.480000019072,0.0
5,4693.10000002384,0.0
6,4693.7200000286075,0.0
7,4694.340000033376,0.0
8,4694.960000038144,0.0
9,4695.580000042912,0.0
10,4696.20000004768,0.0
11,4696.8200000524475,0.0
12,4697.440000057216,0.0
13,4698.060000061984,0.0
14,4698.680000066752,0.0
15,4699.30000007152,0.0
16,4699.9200000762885,0.0
17,4700.540000081056,0.0
18,4701.160000085823,0.0
19,4701.780000090592,0.0
20,4702.40000009536,0.0
21,4703.0200001001285,0.0
22,4703.640000104896,0.0
23,4704.260000109663,0.0
24,4704.880000114432,0.0
25,4705.5000001192,0.0
26,4706.120000123968,0.0
27,4706.740000128736,0.0
28,4707.360000133504,0.0
29,4707.980000138272,0.0
30,4708.60000014304,0.0
31,4709.220000147808,0.0
32,4709.840000152576,0.0
33,4710.460000157344,0.0
34,4711.080000162112,0.0
35,4711.70000016688,0.0
36,4712.320000171648,0.0
37,4712.940000176416,0.0
38,4713.560000181184,0.0
39,4714.180000185952,0.0
40,4714.80000019072,0.0
41,4715.420000195489,0.0
42,4716.040000200256,0.0
43,4716.660000205024,0.0
44,4717.280000209792,0.0
45,4717.90000021456,0.0
46,4718.520000219328,0.0
47,4719.140000224096,0.0
48,4719.760000228864,0.0
49,4720.380000233632,0.0
50,4721.0000002383995,0.0
51,4721.620000243168,0.0
52,4722.240000247936,0.0
53,4722.860000252705,0.0
54,4723.480000257472,0.0
55,4724.10000026224,0.0
56,4724.720000267008,0.0
57,4725.340000271776,0.0
58,4725.960000276544,0.0
59,4726.580000281312,0.0
60,4727.2000002860805,0.0
61,4727.820000290848,0.0
62,4728.440000295615,0.0
63,4729.060000300384,0.0
64,4729.680000305152,0.0
65,4730.3000003099205,0.0
66,4730.920000314688,0.0
67,4731.540000319456,0.0
68,4732.160000324224,0.0
69,4732.780000328992,0.0
70,4733.40000033376,0.0
71,4734.020000338528,0.0
72,4734.640000343296,0.0
73,4735.260000348064,0.0
74,4735.880000352832,0.0
75,4736.5000003576,0.0
76,4737.120000362368,0.0
77,4737.7400003671355,0.0
78,4738.360000371904,0.0
79,4738.980000376672,0.0
80,4739.600000381441,0.0
81,4740.220000386208,0.0
82,4740.840000390976,0.0
83,4741.460000395744,0.0
84,4742.080000400512,0.0
85,4742.70000040528,0.0
86,4743.320000410048,0.0
87,4743.940000414816,0.0
88,4744.560000419584,0.0
89,4745.180000424351,0.0
90,4745.80000042912,0.0
91,4746.420000433888,0.0
92,4747.0400004386565,0.0
93,4747.660000443424,0.0
94,4748.280000448192,0.0
95,4748.90000045296,0.0
96,4749.520000457728,0.0
97,4750.140000462496,0.0
98,4750.760000467264,0.0
99,4751.380000472032,0.0
100,4752.0000004768,0.0
101,4752.620000481567,0.0
102,4753.240000486336,0.0
103,4753.860000491104,0.0
104,4754.480000495872,0.0
105,4755.10000050064,0.0
106,4755.720000505408,0.0
107,4756.340000510176,0.0
108,4756.960000514944,0.0
109,4757.580000519712,0.0
110,4758.20000052448,0.0
111,4758.820000529248,0.0
112,4759.440000534016,0.0
113,4760.060000538784,0.0
114,4760.680000543552,0.0
115,4761.30000054832,0.0
116,4761.920000553088,0.0
117,4762.540000557856,0.0
118,4763.160000562624,0.0
119,4763.780000567393,0.0
120,4764.40000057216,0.0
121,4765.0200005769275,0.0
122,4765.640000581696,0.0
123,4766.260000586464,0.0
124,4766.880000591233,0.0
125,4767.500000596,0.0
126,4768.1200006007675,0.0
127,4768.740000605536,0.0
128,4769.360000610304,0.0
129,4769.980000615072,0.0
130,4770.60000061984,0.0
131,4771.2200006246085,0.0
132,4771.840000629376,0.0
133,4772.460000634144,0.0
134,4773.080000638912,0.0
135,4773.70000064368,0.0
136,4774.3200006484485,0.0
137,4774.940000653216,0.0
138,4775.560000657984,0.0
139,4776.180000662752,0.0
140,4776.800000667519,0.0
141,4777.420000672288,0.0
142,4778.040000677056,0.0
143,4778.660000681824,0.0
144,4779.280000686592,0.0
145,4779.90000069136,0.0
146,4780.520000696128,0.0
147,4781.140000700896,0.0
148,4781.7600007056635,0.0
149,4782.380000710432,0.0
150,4783.0000007152,0.0
151,4783.620000719968,0.0
152,4784.240000724736,0.0
153,4784.860000729504,0.0
154,4785.480000734272,0.0
155,4786.10000073904,0.0
156,4786.720000743808,0.0
157,4787.340000748576,0.0
158,4787.9600007533445,0.0
159,4788.580000758112,0.0
160,4789.200000762879,0.0
161,4789.820000767648,0.0
162,4790.440000772416,0.0
163,4791.0600007771845,0.0
164,4791.680000781952,0.0
165,4792.3000007867195,0.0
166,4792.920000791488,0.0
167,4793.540000796256,0.0
168,4794.160000801024,0.0
169,4794.780000805792,0.0
170,4795.40000081056,0.0
171,4796.020000815328,0.0
172,4796.640000820096,0.0
173,4797.260000824864,0.0
174,4797.880000829632,0.0
175,4798.5000008344,0.0
176,4799.120000839168,0.0
177,4799.740000843936,0.0
178,4800.360000848704,0.0
179,4800.980000853472,0.0
180,4801.60000085824,0.0
181,4802.220000863008,0.0
182,4802.840000867776,0.0
183,4803.460000872545,0.0
184,4804.080000877312,0.0
185,4804.70000088208,0.0
186,4805.320000886848,0.0
187,4805.940000891616,0.0
188,4806.560000896384,0.0
189,4807.180000901152,0.0
190,4807.80000090592,0.0
191,4808.420000910688,0.0
192,4809.0400009154555,0.0
193,4809.660000920224,0.0
194,4810.280000924992,0.0
195,4810.900000929761,0.0
196,4811.520000934528,0.0
197,4812.140000939296,0.0
198,4812.760000944064,0.0
199,4813.380000948832,0.0
200,4814.0000009536,0.0
201,4814.620000958368,0.0
202,4815.2400009631365,0.0
203,4815.860000967904,0.0
204,4816.480000972671,0.0
205,4817.10000097744,0.0
206,4817.720000982208,0.0
207,4818.3400009869765,0.0
208,4818.960000991744,0.0
209,4819.580000996512,0.0
210,4820.20000100128,0.0
211,4820.820001006048,0.0
212,4821.440001010816,0.0
